source;target;kind;labels;motivation;I;TTD;criticality
KK (OutputCart);Move KK from STOR to OPBW queue;functional;Physical requirement;The KK is required at OPBW  queue;3;2;6
Move KK from STOR to OPBW queue;KK (OutputCart);functional;Movement;The KK is moved from STOR to OPBW  queue;3;2;6
OPBW queue;Move KK from STOR to OPBW queue;functional;Location;Space must be availble in froont of the OPBW to from a queue;1;1;2.5
Move KK from STOR to OPBW queue;OPBW queue;functional;Use of space;KK must be moved to the OPBW queue to avoid waiting time when the KK is being dispatched next job should be in the que ;1;1;2.5
Lowpads (robots);Move KK from STOR to OPBW queue;functional;Physical requirement;Lowpad must be available to transports KK from STOR to OPBW queue;4;4;10
Move KK from STOR to OPBW queue;Lowpads (robots);functional;Data Transfer, Movement;Command is sent to lowpad to complete a task, The robot is put into motion - Lowpad transports KK from STOR to  OPBW queue;4;4;10
FingerScanner (OPBW);Scan LE in OK;functional;Physical requirement;Scanner is required to verify if correct plant is chosen for the LE;4;4;10
Scan LE in OK;FingerScanner (OPBW);functional;Scanning;Scanner  verifies if correct plant is chosen for the LE;4;4;10
FingerScanner (OPBW);Scan KK to confirm;functional;Physical requirement;Scanner is required to assign that the LE has been placed on the KK ;4;4;10
Scan KK to confirm;FingerScanner (OPBW);functional;Scanning;Scanner assigns that the LE has been placed on the KK ;4;4;10
Sorting employee;Move LE from OK to KK;functional;Physical requirement;Sorting employee is required to manually transfered  The LE is from OK to KK ;4;4;10
Move LE from OK to KK;Sorting employee;functional;Manual handling;The LE is manually transfered from OK to KK by the Sorting employee;4;4;10
SF-OPBW Screen;Receive sorting instructions;functional;Physical requirement;The display is required to visuzalize what the sorting employee shoudl search for;3;3;7.5
Receive sorting instructions;SF-OPBW Screen;functional;Visualisation, Data Transfer;The display visuzalizes what the sorting employee shoudl search for;3;3;7.5
Lowpads (robots);Move finished KK to EXCH;functional;Physical requirement;Lowpad must be available to transports KK from OPBW to EXCH;4;3;8.5
Move finished KK to EXCH;Lowpads (robots);functional;Data Transfer, Movement;Command is sent to lowpad to complete a task, The robot is put into motion - Lowpad transports KK from OPBW to EXCH;4;3;8.5
KK (OutputCart);Move finished KK to EXCH;functional;Physical requirement;KKs store the orders;3;3;7.5
Move finished KK to EXCH;KK (OutputCart);functional;Movement;KKs are moved by Lowpads;3;3;7.5
Lowpads (robots);Decouple finished KK;functional;Physical requirement;Lowpads are required to to move and Check KK out of WMS and into Florisoft;3;3;7.5
Decouple finished KK;Lowpads (robots);functional;Data Transfer;Lowpads arrive at EXCH and Check KK out of WMS and into Florisoft;3;3;7.5
Mobile Terminal;Decouple finished KK;functional;Physical requirement;Mobile terminal is required to decouple KK's;4;4;10
Decouple finished KK;Mobile Terminal;functional;Scanning;Mobile terminal decouple KK's;4;4;10
EXCH (Output Positions / Checking System);Decouple finished KK;functional;Location;Space must be availble for the final allocation of KK's before they are dispatched;1;1;2.5
Decouple finished KK;EXCH (Output Positions / Checking System);functional;Use of space;Final storage of KK's before they are dispatched;1;1;2.5
KK (OutputCart);Arrival of empty KKs;functional;Physical requirement;Empty KKs are expected to inbound ;3;2;6
Arrival of empty KKs;KK (OutputCart);functional;Movement;Empty KKs arrive;3;2;6
EXCH (Output Positions / Checking System);Arrival of empty KKs;functional;Location;Space must be availble for the final allocation of KK's before they are dispatched;1;1;2.5
Arrival of empty KKs;EXCH (Output Positions / Checking System);functional;Use of space;Empty KKs are checked in at EXCH;1;1;2.5
Mobile Terminal;Scan incoming KK to check it in;functional;Physical requirement;Mobile terminal is required to check KKs in;4;4;10
Scan incoming KK to check it in;Mobile Terminal;functional;Data Transfer;Mobile terminal scans inbound KKs to check them in;4;4;10
Lowpads (robots);Move checked-in KKs to STOR;functional;Physical requirement;Lowpad is required to move the KKs to STOR;3;2;6
Move checked-in KKs to STOR;Lowpads (robots);functional;Data Transfer, Movement;Command is sent to lowpad to complete a task, The robot is put into motion -Lowpads move the KKs to STOR;3;2;6
KK (OutputCart);Move checked-in KKs to STOR;functional;Physical requirement;KKs are required to transport LE's;2;2;5
Move checked-in KKs to STOR;KK (OutputCart);functional;Movement;KKs are moved by Lowpads;2;2;5
SF-RCVG;SF-RCVG Screen;functional;Visualisation;Screens at RCVG need software module to display data;3;3;7.5
SF-OPBW;SF-OPBW Screen;functional;Visualisation;Screens at OPBW need software module to display data;3;3;7.5
Host Communicator;SF-RCVG Screen;functional;Visualisation;Screens at RCVG need data from Host to show what to check-in;3;3;7.5
WMS/WCS API & BarcodeHandler API;Mobile Terminal;functional;Visualisation;API needs terminal to get data changes;4;4;10
Fleet Manager;Lowpads (robots);functional;Task;fleet manager needs robots to distribute tasks;4;4;10
Nicelabel Server;Label Printer (OPBW);functional;Task;server needs printer to physically print labels;4;4;10
Nicelabel Server;Label Printer (RCVG);functional;Task;server needs printer to physically print labels;4;4;10
KK (OutputCart);KK is Ready Algorithm;functional;Status;KK is needed for algorithm to determine if it is ready;2;1;3.5
Lowpads (robots);Fleet Manager;functional;Status;Lowpads are needed for the fleet manager to delegate tasks;4;3;8.5
Lowpads (robots);Actemium Lowpad Communicator;functional;Data transfer;Lowpads are needed for the communicator to distribute data from lowpads;4;3;8.5
Mobile Terminal;WMS/WCS API & BarcodeHandler API;functional;Data transfer;Terminal is needed for API to get datae;4;4;10
FingerScanner (RCVG);SF-RCVG;functional;Scanning;Scanner is needed to operate SF screen;4;4;10
FingerScanner (OPBW);SF-OPBW;functional;Scanning;Scanner is needed to operate SF screen;4;4;10
EXCH (Output Positions / Checking System);Host Communicator;functional;Notification;EXCH postiion is needed to update orders in host ;3;3;7.5
SF-RCVG Screen;SF-RCVG;functional;Data transfer;Screen is needed to update the System behind the screen;3;3;7.5
EXCH (Output Positions / Checking System);Real-Time Database;functional;Data transfer;EXCH is needed to update the database for checking out carts;3;3;7.5
SF-OPBW Screen;SF-OPBW;functional;Data transfer;Screen is needed to update the System behind the screen;3;3;7.5
